date,btc_price_0800_utc,next_day_btc_price_0800_utc,strike_price,instrument_name,expiration,premium_received,option_exercised,expiration_price,trades_count
2025-07-15,119472.14,118189.24,119000.0,BTC-15JUL25-119000-C,,71.683284,False,118189.24,58
2025-07-16,117718.81,118311.75,121000.0,BTC-16JUL25-121000-C,,2.3543762000000004,False,118311.75,10
2025-07-17,118708.28,119339.51,120500.0,BTC-17JUL25-120500-C,,7.1224967999999995,False,119339.51,18
2025-07-18,119225.0,118163.07,121500.0,BTC-18JUL25-121500-C,,7.153499999999999,False,118163.07,11
2025-07-19,118108.43,118029.49,120500.0,BTC-19JUL25-120500-C,,1.1810843,False,118029.49,2
2025-07-20,0.0,119364.18,120500.0,BTC-20JUL25-120500-C,,0.0,False,119364.18,0
2025-07-21,116728.02,117983.69,122000.0,BTC-21JUL25-122000-C,,1.1672802000000002,False,117983.69,6
2025-07-22,117508.98,118350.35,120500.0,BTC-22JUL25-120500-C,,1.1750898,False,118350.35,9
2025-07-23,119889.02,118416.21,120500.0,BTC-23JUL25-120500-C,,15.585572599999999,False,118416.21,21
2025-07-24,119035.5,115320.01,121000.0,BTC-24JUL25-121000-C,,2.38071,False,115320.01,3
2025-07-25,118063.81,117304.47,118000.0,BTC-25JUL25-118000-C,,54.309352600000004,False,117304.47,176
2025-07-26,0.0,118095.95,120000.0,BTC-26JUL25-120000-C,,0.0,False,118095.95,0
2025-07-27,0.0,118900.01,120000.0,BTC-27JUL25-120000-C,,0.0,False,118900.01,0
2025-07-28,119583.81,118882.37,121000.0,BTC-28JUL25-121000-C,,7.175028599999999,False,118882.37,42
2025-07-29,118238.77,118123.0,121000.0,BTC-29JUL25-121000-C,,1.1823877,False,118123.0,15
2025-07-30,117808.06,118665.98,120500.0,BTC-30JUL25-120500-C,,1.1780806000000001,False,118665.98,11
2025-07-31,0.0,115081.76,121000.0,BTC-31JUL25-121000-C,,0.0,False,115081.76,0
2025-08-01,115674.75,113982.49,117500.0,BTC-1AUG25-117500-C,,6.940485,False,113982.49,12
2025-08-02,0.0,113700.0,116500.0,BTC-2AUG25-116500-C,,0.0,False,113700.0,0
2025-08-03,112658.04,114652.98,116000.0,BTC-3AUG25-116000-C,,1.1265804,False,114652.98,7
2025-08-04,114624.34,113969.7,117000.0,BTC-4AUG25-117000-C,,1.1462434000000001,False,113969.7,11
2025-08-05,115028.72,114227.9,116000.0,BTC-5AUG25-116000-C,,6.901723199999999,False,114227.9,48
2025-08-06,0.0,114787.99,117000.0,BTC-6AUG25-117000-C,,0.0,False,114787.99,0
2025-08-07,114947.93,116817.2,117000.0,BTC-7AUG25-117000-C,,1.1494793,False,116817.2,5
2025-08-08,117218.56,116756.0,119000.0,BTC-8AUG25-119000-C,,4.688742400000001,False,116756.0,31
2025-08-09,116689.35,117808.29,119000.0,BTC-9AUG25-119000-C,,1.1668935000000002,False,117808.29,9
2025-08-10,117998.5,121537.14,120000.0,BTC-10AUG25-120000-C,,1.179985,True,121537.14,17
2025-08-11,119108.73,118986.73,124000.0,BTC-11AUG25-124000-C,,1.1910873,False,118986.73,36
2025-08-12,118939.63,119580.4,121000.0,BTC-12AUG25-121000-C,,1.1893963,False,119580.4,18
2025-08-13,119660.25,121725.31,122000.0,BTC-13AUG25-122000-C,,2.393205,False,121725.31,8
2025-08-14,123317.02,118956.45,124000.0,BTC-14AUG25-124000-C,,24.663404000000003,False,118956.45,91
2025-08-15,118414.2,117596.07,121000.0,BTC-15AUG25-121000-C,,3.5524259999999996,False,117596.07,30
2025-08-16,117737.33,118005.98,120000.0,BTC-16AUG25-120000-C,,1.1773733000000002,False,118005.98,10
2025-08-17,118063.72,115205.99,120000.0,BTC-17AUG25-120000-C,,1.1806372,False,115205.99,4
2025-08-18,117525.06,114978.15,118000.0,BTC-18AUG25-118000-C,,17.628759000000002,False,114978.15,44
2025-08-19,116250.13,113490.14,117000.0,BTC-19AUG25-117000-C,,9.300010400000001,False,113490.14,83
2025-08-20,113194.68,113896.03,116000.0,BTC-20AUG25-116000-C,,1.1319468,False,113896.03,27
2025-08-21,114145.78,113094.83,116000.0,BTC-21AUG25-116000-C,,2.2829156000000004,False,113094.83,55
2025-08-22,112748.6,115799.46,115000.0,BTC-22AUG25-115000-C,,2.2549720000000004,True,115799.46,39
2025-08-23,116837.66,114888.19,118000.0,BTC-23AUG25-118000-C,,3.5051297999999997,False,114888.19,43
2025-08-24,115456.08,111511.56,117000.0,BTC-24AUG25-117000-C,,1.1545608,False,111511.56,9
2025-08-25,113377.86,110303.2,114000.0,BTC-25AUG25-114000-C,,31.745800800000005,False,110303.2,73
2025-08-26,109898.29,110725.19,113000.0,BTC-26AUG25-113000-C,,2.1979658,False,110725.19,62
2025-08-27,111646.76,113114.11,113000.0,BTC-27AUG25-113000-C,,4.4658704,True,113114.11,114
2025-08-28,0.0,108268.4161096884,115000.0,BTC-28AUG25-115000-C,,0.0,False,108268.4161096884,0
2025-08-29,112231.36,108335.63315175904,110000.0,BTC-29AUG25-110000-C,,230.07428800000002,False,108335.63315175904,19
2025-08-30,108332.56,108781.95727925688,111000.0,BTC-30AUG25-111000-C,,1.0833256,False,108781.95727925688,13
2025-08-31,109435.62,108253.36092385623,111000.0,BTC-31AUG25-111000-C,,1.0943562,False,108253.36092385623,14
2025-09-01,108249.78,109229.01454657852,110000.0,BTC-1SEP25-110000-C,,3.2474933999999998,False,109229.01454657852,81
2025-09-02,110024.14,111190.18209845416,111000.0,BTC-2SEP25-111000-C,,4.4009656,True,111190.18209845416,89
2025-09-03,111540.83,111751.64761020488,113000.0,BTC-3SEP25-113000-C,,4.4616332000000005,False,111751.64761020488,19
2025-09-04,0.0,110752.04142516552,114000.0,BTC-4SEP25-114000-C,,0.0,False,110752.04142516552,0
2025-09-05,110487.29,110656.308978032,113000.0,BTC-5SEP25-113000-C,,1.1048729,False,110656.308978032,115
2025-09-06,110888.5,110223.83395870344,113000.0,BTC-6SEP25-113000-C,,1.1088850000000001,False,110223.83395870344,2
2025-09-07,110702.07,111133.09269636446,112000.0,BTC-7SEP25-112000-C,,1.1070207,False,111133.09269636446,6
2025-09-08,111103.95,112025.12878118773,113000.0,BTC-8SEP25-113000-C,,2.222079,False,112025.12878118773,24
2025-09-09,112025.27,111521.54423183508,114000.0,BTC-9SEP25-114000-C,,1.1202527000000002,False,111521.54423183508,6
2025-09-10,0.0,114000.12092296442,114000.0,BTC-10SEP25-114000-C,,0.0,False,114000.12092296442,0
2025-09-11,0.0,115503.16663193036,116000.0,BTC-11SEP25-116000-C,,0.0,False,115503.16663193036,0
2025-09-12,115535.04,116160.14344594492,118000.0,BTC-12SEP25-118000-C,,3.4660511999999994,False,116160.14344594492,54
2025-09-13,116327.02,115974.8873939637,118000.0,BTC-13SEP25-118000-C,,1.1632702000000001,False,115974.8873939637,9
2025-09-14,0.0,115278.5525158622,118000.0,BTC-14SEP25-118000-C,,0.0,False,115278.5525158622,0
2025-09-15,115201.36,115356.68489564986,118000.0,BTC-15SEP25-118000-C,,2.3040272,False,115356.68489564986,28
2025-09-16,115973.79,116797.00205991932,118000.0,BTC-16SEP25-118000-C,,1.1597379,False,116797.00205991932,3
2025-09-17,116664.59,116455.9464822532,119000.0,BTC-17SEP25-119000-C,,1.1666459,False,116455.9464822532,9
2025-09-18,116615.74,117169.11793707692,119000.0,BTC-18SEP25-119000-C,,1.1661574000000001,False,117169.11793707692,25
2025-09-19,117210.69,115656.94582205842,120000.0,BTC-19SEP25-120000-C,,1.1721069000000002,False,115656.94582205842,22
2025-09-20,115683.83,115722.89635080755,118000.0,BTC-20SEP25-118000-C,,1.1568383000000002,False,115722.89635080755,4
2025-09-21,0.0,115255.84820116172,118000.0,BTC-21SEP25-118000-C,,0.0,False,115255.84820116172,0
2025-09-22,114854.75,112692.49699542264,118000.0,BTC-22SEP25-118000-C,,1.1485475,False,112692.49699542264,15
