"market_id","created_at","title","ticker","strike_price","deadline","price_lvl","yes_price","resolution"
5689,"2025-07-15 10:07:07.658","💎 $BTC above $116770.23 on Jul 16, 10:00 UTC?","BTC","116770.23","Jul 16, 10:00 UTC",2,0.55,"YES"
5690,"2025-07-15 10:08:17.298","💎 $BTC above $114434.82 on Jul 16, 10:00 UTC?","BTC","114434.82","Jul 16, 10:00 UTC",1,0.81,"YES"
5691,"2025-07-15 10:08:59.308","💎 $BTC above $119105.63 on Jul 16, 10:00 UTC?","BTC","119105.63","Jul 16, 10:00 UTC",3,0.27000000000000000000,"YES"
5764,"2025-07-16 10:07:11.634","💎 $BTC above $119164.14 on Jul 17, 10:00 UTC?","BTC","119164.14","Jul 17, 10:00 UTC",2,0.55,"NO"
5768,"2025-07-16 13:57:50.618","💎 $BTC above $116780.85 on Jul 17, 10:00 UTC?","BTC","116780.85","Jul 17, 10:00 UTC",1,0.75000000000000000000,"YES"
5769,"2025-07-16 13:58:26.857","💎 $BTC above $121547.42 on Jul 17, 10:00 UTC?","BTC","121547.42","Jul 17, 10:00 UTC",3,0.25000000000000000000,"NO"
5792,"2025-07-17 10:07:10.620","💎 $BTC above $118631.01 on Jul 18, 10:00 UTC?","BTC","118631.01","Jul 18, 10:00 UTC",2,0.55000000000000000000,"YES"
5793,"2025-07-17 10:08:09.578","💎 $BTC above $116258.38 on Jul 18, 10:00 UTC?","BTC","116258.38","Jul 18, 10:00 UTC",1,0.83000000000000000000,"YES"
5794,"2025-07-17 10:08:38.499","💎 $BTC above $121003.63 on Jul 18, 10:00 UTC?","BTC","121003.63","Jul 18, 10:00 UTC",3,0.21000000000000000000,"NO"
5826,"2025-07-18 10:07:11.292","💎 $BTC above $118848.67 on Jul 19, 10:00 UTC?","BTC","118848.67","Jul 19, 10:00 UTC",1,0.99000000000000000000,"NO"
5828,"2025-07-18 11:01:25.308","💎 $BTC above $116471.69 on Jul 19, 09:00 UTC?","BTC","116471.69","Jul 19, 09:00 UTC",1,0.99900000000000000000,"YES"
5829,"2025-07-18 11:02:16.471","💎 $BTC above $121225.64 on Jul 19, 10:00 UTC?","BTC","121225.64","Jul 19, 10:00 UTC",2,0.80000000000000000000,"NO"
5883,"2025-07-19 10:03:42.659","💎 $BTC above $118326.62 on Jul 20, 10:00 UTC?","BTC","118326.62","Jul 20, 10:00 UTC",2,0.55000000000000000000,"NO"
5884,"2025-07-19 10:05:26.638","💎 $BTC above $115960.08 on Jul 20, 10:00 UTC?","BTC","115960.08","Jul 20, 10:00 UTC",1,0.77000000000000000000,"YES"
5885,"2025-07-19 10:05:58.688","💎 $BTC above $120693.15 on Jul 20, 10:00 UTC?","BTC","120693.15","Jul 20, 10:00 UTC",3,0.13000000000000000000,"NO"
5910,"2025-07-20 10:07:10.931","💎 $BTC above $118015.84 on Jul 21, 10:00 UTC?","BTC","118015.84","Jul 21, 10:00 UTC",2,0.63000000000000000000,"YES"
5911,"2025-07-20 10:50:39.029","💎 $BTC above $115655.52 on Jul 21, 10:00 UTC?","BTC","115655.52","Jul 21, 10:00 UTC",1,0.85000000000000000000,"YES"
5912,"2025-07-20 10:51:25.213","💎 $BTC above $120376.15 on Jul 21, 10:00 UTC?","BTC","120376.15","Jul 21, 10:00 UTC",3,0.27000000000000000000,"NO"
5940,"2025-07-21 10:07:11.242","💎 $BTC above $118730.75 on Jul 22, 10:00 UTC?","BTC","118730.75","Jul 22, 10:00 UTC",2,0.60000000000000000000,"NO"
5942,"2025-07-21 11:21:11.281","💎 $BTC above $116356.13 on Jul 22, 10:00 UTC?","BTC","116356.13","Jul 22, 10:00 UTC",1,0.94000000000000000000,"YES"
5943,"2025-07-21 11:21:41.746","💎 $BTC above $121105.36 on Jul 22, 10:00 UTC?","BTC","121105.36","Jul 22, 10:00 UTC",3,0.21000000000000000000,"NO"
5974,"2025-07-22 10:07:11.187","💎 $BTC above $118520.65 on Jul 23, 10:00 UTC?","BTC","118520.65","Jul 23, 10:00 UTC",2,0.62000000000000000000,"NO"
5976,"2025-07-22 11:48:53.869","💎 $BTC above $116150.23 on Jul 23, 10:00 UTC?","BTC","116150.23","Jul 23, 10:00 UTC",1,0.95000000000000000000,"YES"
5977,"2025-07-22 11:49:22.384","💎 $BTC above $120891.06 on Jul 23, 10:00 UTC?","BTC","120891.06","Jul 23, 10:00 UTC",3,0.30000000000000000000,"NO"
6004,"2025-07-23 10:07:14.691","💎 $BTC above $118086.51 on Jul 24, 10:00 UTC?","BTC","118086.51","Jul 24, 10:00 UTC",2,0.69000000000000000000,"YES"
6005,"2025-07-23 10:09:04.067","💎 $BTC above $115724.77 on Jul 24, 10:00 UTC?","BTC","115724.77","Jul 24, 10:00 UTC",1,0.97000000000000000000,"YES"
6006,"2025-07-23 10:09:33.864","💎 $BTC above $120448.24 on Jul 24, 10:00 UTC?","BTC","120448.24","Jul 24, 10:00 UTC",3,0.21000000000000000000,"NO"
6042,"2025-07-24 10:07:12.849","💎 $BTC above $118497.61 on Jul 25, 10:00 UTC?","BTC","118497.61","Jul 25, 10:00 UTC",2,0.52,"NO"
6043,"2025-07-24 10:11:28.276","💎 $BTC above $116127.65 on Jul 25, 10:00 UTC?","BTC","116127.65","Jul 25, 10:00 UTC",1,0.92000000000000000000,"NO"
6044,"2025-07-24 10:11:48.994","💎 $BTC above $120867.56 on Jul 25, 10:00 UTC?","BTC","120867.56","Jul 25, 10:00 UTC",3,0.14,"NO"
6072,"2025-07-25 10:01:52.378","💎 $BTC above $116063.00 on Jul 26, 10:00 UTC?","BTC","116063.00","Jul 26, 10:00 UTC",2,0.58000000000000000000,"YES"
6073,"2025-07-25 10:03:19.063","💎 $BTC above $118384.26 on Jul 26, 10:00 UTC?","BTC","118384.26","Jul 26, 10:00 UTC",3,0.07000000000000000000,"NO"
6074,"2025-07-25 10:03:53.823","💎 $BTC above $113741.74 on Jul 26, 10:00 UTC?","BTC","113741.74","Jul 26, 10:00 UTC",1,0.81000000000000000000,"YES"
6121,"2025-07-26 09:23:02.992","💎 $BTC above $117588.25 on Jul 27, 10:00 UTC?","BTC","117588.25","Jul 27, 10:00 UTC",2,0.64000000000000000000,"YES"
6122,"2025-07-26 09:23:54.109","💎 $BTC above $116412.36 on Jul 27, 10:00 UTC?","BTC","116412.36","Jul 27, 10:00 UTC",1,0.97000000000000000000,"YES"
6123,"2025-07-26 09:24:10.996","💎 $BTC above $118764.13 on Jul 27, 10:00 UTC?","BTC","118764.13","Jul 27, 10:00 UTC",3,0.22000000000000000000,"NO"
6149,"2025-07-27 10:07:10.543","💎 $BTC above $118128.45 on Jul 28, 10:00 UTC?","BTC","118128.45","Jul 28, 10:00 UTC",1,0.4,"YES"
6177,"2025-07-28 10:07:10.690","💎 $BTC above $118872.85 on Jul 29, 10:00 UTC?","BTC","118872.85","Jul 29, 10:00 UTC",2,0.50000000000000000000,"NO"
6178,"2025-07-28 10:10:30.567","💎 $BTC above $116495.39 on Jul 29, 10:00 UTC?","BTC","116495.39","Jul 29, 10:00 UTC",1,0.96000000000000000000,"YES"
6179,"2025-07-28 10:11:01.811","💎 $BTC above $121250.30 on Jul 29, 10:00 UTC?","BTC","121250.30","Jul 29, 10:00 UTC",3,0.01,"NO"
